time,station,cglo,cglo_flag,chim,chim_flag,dd,dd_flag,ddx,ddx_flag,ff,ffam,ffam_flag,ff_flag,ffx,ffx_flag,p,p_flag,pred,pred_flag,rf,rf_flag,rr,rr_flag,rrm,rrm_flag,sh,sh_flag,so,so_flag,tb10,tb10_flag,tb20,tb20_flag,tb50,tb50_flag,tl,tl_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,ts,ts_flag,tsmax,tsmax_flag,tsmin,tsmin_flag,zeitx,zeitx_flag,substation
2026-02-01T00:00+00:00,55,0,12,,,301,12,316,12,0.9,0.9,12,12,1.5,12,931.4,12,1012.6,,85,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.1,12,-2.9,12,-3.1,12,-5.1,12,-5.1,12,-5.1,12,51,12,17901
2026-02-01T00:10+00:00,55,0,12,,,307,12,301,12,1.1,1.1,12,12,1.6,12,931.4,12,1012.5,,84,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.9,12,-2.9,12,-3.1,12,-5.0,12,-5.0,12,-5.1,12,4,12,17901
2026-02-01T00:20+00:00,55,0,12,,,305,12,315,12,1.2,1.2,12,12,2.0,12,931.5,12,1012.6,,82,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.8,12,-2.7,12,-2.9,12,-4.6,12,-4.6,12,-4.9,12,11,12,17901
2026-02-01T00:30+00:00,55,0,12,,,307,12,312,12,1.3,1.3,12,12,2.3,12,931.5,12,1012.5,,81,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.6,12,-2.6,12,-2.8,12,-4.4,12,-4.4,12,-4.6,12,24,12,17901
2026-02-01T00:40+00:00,55,0,12,,,294,12,254,12,1.1,1.2,12,12,2.4,12,931.5,12,1012.6,,82,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.8,12,-2.5,12,-2.8,12,-4.4,12,-4.4,12,-4.4,12,39,12,17901
2026-02-01T00:50+00:00,55,0,12,,,293,12,297,12,0.6,0.7,12,12,1.8,12,931.5,12,1012.6,,82,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.7,12,-2.7,12,-2.9,12,-4.6,12,-4.4,12,-4.6,12,48,12,17901
2026-02-01T01:00+00:00,55,0,12,,,307,12,315,12,1.0,1.0,12,12,2.6,12,931.6,12,1012.8,,82,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.9,12,-2.7,12,-3.0,12,-4.7,12,-4.6,12,-4.7,12,50,12,17901
2026-02-01T01:10+00:00,55,0,12,,,314,12,315,12,1.2,1.2,12,12,2.0,12,931.6,12,1012.8,,81,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.9,12,-2.9,12,-2.9,12,-4.7,12,-4.6,12,-4.7,12,0,12,17901
2026-02-01T01:20+00:00,55,0,12,,,297,12,280,12,0.9,0.9,12,12,1.7,12,931.6,12,1012.8,,82,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.0,12,-2.9,12,-3.0,12,-4.9,12,-4.7,12,-4.9,12,14,12,17901
2026-02-01T01:30+00:00,55,0,12,,,299,12,283,12,1.3,1.4,12,12,2.4,12,931.6,12,1012.8,,81,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.0,12,-3.0,12,-3.0,12,-4.7,12,-4.7,12,-4.9,12,25,12,17901
2026-02-01T01:40+00:00,55,0,12,,,291,12,271,12,1.9,1.9,12,12,3.2,12,931.8,12,1013.0,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.9,12,-2.9,12,-2.9,12,-4.5,12,-4.5,12,-4.7,12,30,12,17901
2026-02-01T01:50+00:00,55,0,12,,,296,12,273,12,1.9,2.0,12,12,3.1,12,931.8,12,1013.0,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.9,12,-2.9,12,-2.9,12,-4.4,12,-4.4,12,-4.5,12,41,12,17901
2026-02-01T02:00+00:00,55,0,12,,,300,12,289,12,1.9,2.0,12,12,3.8,12,931.9,12,1013.1,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.9,12,-2.8,12,-2.9,12,-4.3,12,-4.3,12,-4.4,12,51,12,17901
2026-02-01T02:10+00:00,55,0,12,,,288,12,270,12,1.4,1.5,12,12,2.5,12,931.9,12,1013.1,,79,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.8,12,-2.8,12,-2.9,12,-4.1,12,-4.1,12,-4.3,12,3,12,17901
2026-02-01T02:20+00:00,55,0,12,,,324,12,308,12,0.9,0.9,12,12,1.8,12,931.9,12,1013.1,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.9,12,-2.9,12,-2.9,12,-4.1,12,-4.1,12,-4.1,12,10,12,17901
2026-02-01T02:30+00:00,55,0,12,,,300,12,279,12,1.1,1.1,12,12,2.7,12,931.9,12,1013.1,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.9,12,-2.9,12,-3.0,12,-4.2,12,-4.1,12,-4.2,12,29,12,17901
2026-02-01T02:40+00:00,55,0,12,,,286,12,315,12,2.6,2.7,12,12,6.1,12,931.8,12,1012.9,,78,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-2.8,12,-2.8,12,-3.0,12,-4.1,12,-4.1,12,-4.2,12,39,12,17901
2026-02-01T02:50+00:00,55,0,12,,,283,12,287,12,2.0,2.0,12,12,4.9,12,931.6,12,1012.8,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.0,12,-2.8,12,-3.0,12,-4.1,12,-4.0,12,-4.1,12,42,12,17901
2026-02-01T03:00+00:00,55,0,12,,,312,12,315,12,1.2,1.2,12,12,2.0,12,931.8,12,1013.0,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.0,12,-3.0,12,-3.1,12,-4.2,12,-4.1,12,-4.2,12,55,12,17901
2026-02-01T03:10+00:00,55,0,12,,,292,12,287,12,1.6,1.7,12,12,3.8,12,931.9,12,1013.1,,78,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.1,12,-3.0,12,-3.1,12,-4.1,12,-4.1,12,-4.2,12,6,12,17901
2026-02-01T03:20+00:00,55,0,12,,,286,12,288,12,2.2,2.3,12,12,3.6,12,931.9,12,1013.2,,78,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.2,12,-3.1,12,-3.2,12,-4.0,12,-4.0,12,-4.1,12,14,12,17901
2026-02-01T03:30+00:00,55,0,12,,,290,12,278,12,2.4,2.5,12,12,4.2,12,931.9,12,1013.2,,77,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.2,12,-3.2,12,-3.2,12,-4.1,12,-4.0,12,-4.1,12,29,12,17901
2026-02-01T03:40+00:00,55,0,12,,,274,12,276,12,3.4,3.4,12,12,5.9,12,931.9,12,1013.2,,77,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.3,12,-3.2,12,-3.3,12,-4.1,12,-4.1,12,-4.1,12,32,12,17901
2026-02-01T03:50+00:00,55,0,12,,,283,12,298,12,2.0,2.0,12,12,3.2,12,931.9,12,1013.2,,79,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.4,12,-3.3,12,-3.4,12,-4.3,12,-4.1,12,-4.3,12,49,12,17901
2026-02-01T04:00+00:00,55,0,12,,,280,12,293,12,1.8,1.9,12,12,3.4,12,931.9,12,1013.2,,78,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.3,12,-3.2,12,-3.4,12,-4.3,12,-4.3,12,-4.4,12,50,12,17901
2026-02-01T04:10+00:00,55,0,12,,,274,12,287,12,1.2,1.2,12,12,2.4,12,931.8,12,1013.1,,79,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.4,12,-3.3,12,-3.5,12,-4.5,12,-4.4,12,-4.5,12,0,12,17901
2026-02-01T04:20+00:00,55,0,12,,,268,12,279,12,2.0,2.0,12,12,3.3,12,931.8,12,1013.2,,78,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.5,12,-3.4,12,-3.5,12,-4.7,12,-4.5,12,-4.7,12,19,12,17901
2026-02-01T04:30+00:00,55,0,12,,,274,12,263,12,2.4,2.5,12,12,4.1,12,931.8,12,1013.2,,78,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.7,12,-3.5,12,-3.7,12,-4.8,12,-4.7,12,-4.8,12,21,12,17901
2026-02-01T04:40+00:00,55,0,12,,,277,12,261,12,2.2,2.2,12,12,3.5,12,931.9,12,1013.4,,79,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-3.8,12,-3.7,12,-3.8,12,-5.0,12,-4.8,12,-5.0,12,35,12,17901
2026-02-01T04:50+00:00,55,0,12,,,278,12,278,12,1.5,1.6,12,12,2.5,12,931.9,12,1013.4,,79,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-4.0,12,-3.8,12,-4.0,12,-5.3,12,-5.0,12,-5.3,12,41,12,17901
2026-02-01T05:00+00:00,55,0,12,,,290,12,279,12,2.0,2.0,12,12,4.1,12,931.9,12,1013.5,,79,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-4.1,12,-4.0,12,-4.1,12,-5.7,12,-5.3,12,-5.7,12,57,12,17901
2026-02-01T05:10+00:00,55,0,12,,,287,12,263,12,2.2,2.2,12,12,3.8,12,932.0,12,1013.6,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-4.2,12,-4.1,12,-4.3,12,-6.0,12,-5.7,12,-6.0,12,2,12,17901
2026-02-01T05:20+00:00,55,0,12,,,288,12,280,12,2.2,2.2,12,12,4.6,12,932.0,12,1013.6,,80,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-4.3,12,-4.2,12,-4.4,12,-6.4,12,-6.0,12,-6.4,12,18,12,17901
2026-02-01T05:30+00:00,55,0,12,,,292,12,272,12,1.7,1.8,12,12,3.2,12,932.1,12,1013.8,,81,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-4.5,12,-4.1,12,-4.5,12,-6.9,12,-6.5,12,-6.9,12,20,12,17901
2026-02-01T05:40+00:00,55,0,12,,,295,12,318,12,1.5,1.6,12,12,2.3,12,932.2,12,1014.0,,82,12,0.0,12,0,12,18,22,0,12,0.0,12,0.4,12,,21,-4.8,12,-4.5,12,-4.8,12,-7.6,12,-7.0,12,-7.6,12,30,12,17901
